account_id,account_number,customer_id,product_id,branch_id,open_date,close_date,account_status,currency,current_balance,account_type
AC00118,69781500000118,CU04552,PR001,BR003,2019-02-28,,ACTIVE,INR,23209.21,SAVINGS
AC00119,72843200000119,CU02470,PR002,BR010,2022-03-24,,ACTIVE,INR,294820.64,SAVINGS
AC00120,45420300000120,CU01347,PR006,BR003,2019-03-05,,DORMANT,INR,45149.38,CURRENT
AC00121,39248300000121,CU03447,PR009,BR002,2023-04-08,2024-02-09,CLOSED,INR,48566.15,FIXED_DEPOSIT
AC00122,63929100000122,CU02267,PR002,BR005,2021-06-10,,DORMANT,INR,159356.83,SAVINGS
AC00123,61469500000123,CU01651,PR007,BR004,2023-07-31,,ACTIVE,INR,12289.49,FIXED_DEPOSIT
AC00124,27867900000124,CU01841,PR007,BR002,2018-09-09,,ACTIVE,INR,11031.86,FIXED_DEPOSIT
AC00125,69636800000125,CU03965,PR007,BR007,2021-12-02,,ACTIVE,INR,49700.41,FIXED_DEPOSIT
AC00126,47899900000126,CU00339,PR008,BR003,2019-12-17,2021-03-07,CLOSED,INR,231537.95,FIXED_DEPOSIT
AC00127,41194000000127,CU03880,PR007,BR006,2020-02-02,,DORMANT,INR,40004.75,FIXED_DEPOSIT
AC00128,42434200000128,CU04843,PR009,BR005,2023-02-20,,DORMANT,INR,182324.11,FIXED_DEPOSIT
AC00129,55516900000129,CU03754,PR008,BR010,2021-11-26,2024-07-26,CLOSED,INR,161492.30,FIXED_DEPOSIT
AC00130,18650500000130,CU02309,PR009,BR002,2019-02-26,2021-12-09,CLOSED,INR,193528.01,FIXED_DEPOSIT
AC00131,94324800000131,CU00427,PR001,BR005,2021-06-27,,DORMANT,INR,81283.88,SAVINGS
AC00132,19285900000132,CU03778,PR004,BR007,2025-07-12,2026-08-28,CLOSED,INR,177327.22,CURRENT
AC00133,88024900000133,CU02231,PR006,BR007,2023-11-21,2026-08-28,CLOSED,INR,225923.54,CURRENT
AC00134,26723100000134,CU01915,PR007,BR008,2019-06-20,2021-09-23,CLOSED,INR,230546.07,FIXED_DEPOSIT
AC00135,81720300000135,CU00091,PR001,BR003,2021-01-23,,ACTIVE,INR,4029.48,SAVINGS
AC00136,25524000000136,CU00446,PR006,BR007,2024-02-07,2026-08-24,CLOSED,INR,25061.06,CURRENT
AC00137,77595000000137,CU01882,PR005,BR008,2024-07-28,2026-08-22,CLOSED,INR,34536.03,CURRENT
AC00138,25817900000138,CU00642,PR007,BR002,2020-04-06,,DORMANT,INR,203294.29,FIXED_DEPOSIT
AC00139,69942500000139,CU04336,PR007,BR002,2018-12-08,,DORMANT,INR,120164.62,FIXED_DEPOSIT
AC00140,44163500000140,CU00160,PR002,BR008,2025-11-14,,ACTIVE,INR,86.51,SAVINGS
AC00141,59079100000141,CU02985,PR002,BR005,2025-12-25,2026-08-27,CLOSED,INR,202772.99,SAVINGS
AC00142,67963000000142,CU03250,PR002,BR004,2019-03-05,2023-11-27,CLOSED,INR,136941.69,SAVINGS
AC00143,17062200000143,CU03811,PR004,BR005,2020-11-29,,ACTIVE,INR,986.95,CURRENT
AC00144,60383500000144,CU01681,PR006,BR009,2019-11-18,,DORMANT,INR,146737.83,CURRENT
AC00145,80553100000145,CU03334,PR005,BR006,2021-10-21,2026-01-26,CLOSED,INR,13803.33,CURRENT
AC00146,35713600000146,CU00692,PR008,BR003,2025-10-12,2026-08-21,CLOSED,INR,215745.46,FIXED_DEPOSIT
AC00147,68681500000147,CU04094,PR007,BR006,2020-05-17,,ACTIVE,INR,353.78,FIXED_DEPOSIT
AC00148,59251300000148,CU02041,PR002,BR008,2018-06-11,,DORMANT,INR,228043.57,SAVINGS
AC00149,29833200000149,CU00644,PR009,BR005,2018-01-02,2023-05-29,CLOSED,INR,31561.80,FIXED_DEPOSIT
AC00150,41914500000150,CU03203,PR006,BR010,2021-06-01,,DORMANT,INR,92270.83,CURRENT
AC00151,58400200000151,CU01852,PR006,BR006,2018-05-31,,ACTIVE,INR,20469.44,CURRENT
AC00152,36169800000152,CU03484,PR006,BR007,2023-03-04,,DORMANT,INR,133288.08,CURRENT
AC00153,20814800000153,CU01098,PR009,BR003,2025-01-30,2026-08-22,CLOSED,INR,175300.01,FIXED_DEPOSIT
AC00154,57307900000154,CU01795,PR001,BR005,2020-06-11,,DORMANT,INR,106834.84,SAVINGS
AC00155,13553000000155,CU00766,PR007,BR001,2023-03-03,,DORMANT,INR,61869.46,FIXED_DEPOSIT
AC00156,37041600000156,CU04306,PR008,BR003,2024-10-22,2026-06-19,CLOSED,INR,110211.15,FIXED_DEPOSIT
AC00157,71461900000157,CU03694,PR008,BR005,2025-05-04,2026-08-27,CLOSED,INR,89105.07,FIXED_DEPOSIT
AC00158,81263100000158,CU01728,PR007,BR010,2022-11-23,,DORMANT,INR,6194.82,FIXED_DEPOSIT
AC00159,64516900000159,CU01088,PR007,BR010,2022-07-19,2026-06-24,CLOSED,INR,138608.15,FIXED_DEPOSIT
AC00160,67014300000160,CU04337,PR009,BR010,2018-04-11,,DORMANT,INR,77265.97,FIXED_DEPOSIT
AC00161,56734800000161,CU02879,PR002,BR005,2022-01-11,2023-09-22,CLOSED,INR,237354.55,SAVINGS
AC00162,76326400000162,CU01480,PR005,BR006,2018-02-09,,ACTIVE,INR,63169.36,CURRENT
AC00163,39897400000163,CU03700,PR006,BR004,2024-04-16,,ACTIVE,INR,1253.14,CURRENT
AC00164,32653900000164,CU02429,PR007,BR001,2025-08-16,,DORMANT,INR,208746.34,FIXED_DEPOSIT
AC00165,69123400000165,CU00541,PR002,BR004,2019-08-17,,ACTIVE,INR,87809.93,SAVINGS
AC00166,79811100000166,CU02103,PR008,BR009,2022-08-22,,DORMANT,INR,69135.55,FIXED_DEPOSIT
AC00167,28475000000167,CU04892,PR002,BR007,2023-10-31,,DORMANT,INR,80379.35,SAVINGS
AC00168,46824700000168,CU01047,PR005,BR009,2019-04-01,2020-03-31,CLOSED,INR,230574.69,CURRENT
AC00169,84357700000169,CU02172,PR009,BR008,2018-10-07,,DORMANT,INR,27601.51,FIXED_DEPOSIT
AC00170,66278500000170,CU01581,PR003,BR006,2021-05-20,,ACTIVE,INR,89295.08,SAVINGS
AC00171,49298200000171,CU01270,PR005,BR002,2021-07-03,,DORMANT,INR,133469.16,CURRENT
AC00172,51952900000172,CU03692,PR009,BR010,2022-10-03,,DORMANT,INR,51639.39,FIXED_DEPOSIT
AC00173,28146900000173,CU00641,PR001,BR009,2020-07-15,2024-07-18,CLOSED,INR,40390.70,SAVINGS
AC00174,35647100000174,CU03652,PR009,BR007,2019-05-28,,ACTIVE,INR,55136.59,FIXED_DEPOSIT
AC00175,97663500000175,CU02085,PR004,BR010,2025-07-20,,DORMANT,INR,164818.81,CURRENT
AC00176,99183000000176,CU00377,PR002,BR001,2021-05-20,,ACTIVE,INR,1042.33,SAVINGS
AC00177,97614900000177,CU03241,PR008,BR003,2021-04-04,,DORMANT,INR,130527.06,FIXED_DEPOSIT
AC00178,15653000000178,CU03025,PR002,BR004,2022-04-04,,ACTIVE,INR,83965.27,SAVINGS
AC00179,70164800000179,CU02959,PR003,BR002,2025-06-24,2026-08-26,CLOSED,INR,144599.03,SAVINGS
AC00180,63011200000180,CU01919,PR006,BR007,2022-03-01,,DORMANT,INR,183610.63,CURRENT
AC00181,79210100000181,CU00349,PR005,BR005,2018-12-03,,ACTIVE,INR,265085.50,CURRENT
AC00182,21058000000182,CU00418,PR002,BR009,2022-11-01,,DORMANT,INR,104029.52,SAVINGS
AC00183,99147100000183,CU01358,PR009,BR006,2025-04-06,2026-08-23,CLOSED,INR,175978.77,FIXED_DEPOSIT
AC00184,69178600000184,CU04003,PR004,BR001,2023-04-28,,ACTIVE,INR,38901.91,CURRENT
AC00185,55652900000185,CU02097,PR005,BR002,2024-12-27,2026-08-24,CLOSED,INR,140437.55,CURRENT
AC00186,40197700000186,CU03118,PR009,BR005,2023-12-04,,DORMANT,INR,113498.51,FIXED_DEPOSIT
AC00187,72801200000187,CU03071,PR006,BR003,2020-12-27,,ACTIVE,INR,103885.47,CURRENT
AC00188,36536500000188,CU01435,PR009,BR009,2025-03-09,2025-10-24,CLOSED,INR,219291.97,FIXED_DEPOSIT
AC00189,44697300000189,CU04333,PR004,BR010,2019-09-22,2024-02-11,CLOSED,INR,166213.73,CURRENT
AC00190,51464500000190,CU02106,PR009,BR010,2019-11-27,,DORMANT,INR,126743.78,FIXED_DEPOSIT
AC00191,79380900000191,CU03871,PR009,BR009,2018-01-07,2020-02-01,CLOSED,INR,61329.31,FIXED_DEPOSIT
AC00192,22616700000192,CU03258,PR002,BR004,2021-09-12,,ACTIVE,INR,333.44,SAVINGS
AC00193,27266200000193,CU02410,PR002,BR009,2025-12-04,,ACTIVE,INR,44573.18,SAVINGS
AC00194,25553400000194,CU03428,PR008,BR002,2025-02-02,,DORMANT,INR,134399.40,FIXED_DEPOSIT
AC00195,47033400000195,CU04594,PR006,BR002,2018-12-01,,ACTIVE,INR,94866.90,CURRENT
AC00196,86666500000196,CU04577,PR003,BR004,2023-12-11,,ACTIVE,INR,62260.68,SAVINGS
AC00197,94764800000197,CU00621,PR006,BR007,2023-07-26,,DORMANT,INR,192564.32,CURRENT
AC00198,58915400000198,CU02164,PR003,BR001,2021-04-24,,DORMANT,INR,198951.50,SAVINGS
AC00199,54904900000199,CU03058,PR006,BR007,2025-05-09,,ACTIVE,INR,16349.99,CURRENT
AC00200,41465100000200,CU03461,PR002,BR003,2023-07-14,,ACTIVE,INR,378.07,SAVINGS
AC00201,42821600000201,CU01578,PR004,BR009,2024-05-05,2025-01-24,CLOSED,INR,45030.15,CURRENT
AC00202,30938100000202,CU00051,PR009,BR009,2018-02-19,2020-11-23,CLOSED,INR,219173.47,FIXED_DEPOSIT
AC00203,96917900000203,CU00887,PR003,BR005,2022-09-20,2025-01-13,CLOSED,INR,79683.56,SAVINGS
AC00204,63023800000204,CU04724,PR003,BR003,2020-08-09,,DORMANT,INR,224053.86,SAVINGS
AC00205,75395900000205,CU01512,PR002,BR008,2020-09-16,2023-01-31,CLOSED,INR,217162.51,SAVINGS
AC00206,65118700000206,CU01056,PR001,BR006,2021-04-09,,DORMANT,INR,74207.47,SAVINGS
AC00207,72711100000207,CU04126,PR009,BR006,2025-12-05,2026-08-20,CLOSED,INR,90242.76,FIXED_DEPOSIT
AC00208,46660500000208,CU03318,PR003,BR010,2019-08-09,,DORMANT,INR,96248.13,SAVINGS
AC00209,98983100000209,CU02409,PR009,BR006,2018-06-20,,DORMANT,INR,118875.74,FIXED_DEPOSIT
AC00210,80247300000210,CU03721,PR008,BR006,2019-07-14,2022-06-19,CLOSED,INR,127929.40,FIXED_DEPOSIT
AC00211,41986300000211,CU04340,PR009,BR004,2021-06-19,,ACTIVE,INR,39305.10,FIXED_DEPOSIT
AC00212,52054800000212,CU01191,PR005,BR001,2022-12-09,,ACTIVE,INR,69481.53,CURRENT
AC00213,77132100000213,CU03359,PR009,BR010,2025-07-13,,ACTIVE,INR,118235.06,FIXED_DEPOSIT
AC00214,56313600000214,CU01897,PR001,BR009,2019-03-09,,ACTIVE,INR,70558.54,SAVINGS
AC00215,99032000000215,CU00883,PR008,BR005,2023-01-21,,DORMANT,INR,156887.91,FIXED_DEPOSIT
AC00216,95055700000216,CU04256,PR007,BR010,2019-04-13,,ACTIVE,INR,51942.69,FIXED_DEPOSIT
AC00217,13420300000217,CU03391,PR006,BR001,2023-01-01,,ACTIVE,INR,5352.45,CURRENT
AC00218,76557100000218,CU00292,PR003,BR009,2019-06-12,,DORMANT,INR,233108.61,SAVINGS
AC00219,12079400000219,CU01415,PR008,BR002,2024-12-24,,DORMANT,INR,178763.09,FIXED_DEPOSIT
AC00220,60414700000220,CU01389,PR004,BR010,2025-10-22,,ACTIVE,INR,1264.22,CURRENT
AC00221,40594100000221,CU02383,PR002,BR005,2024-05-31,,DORMANT,INR,22363.94,SAVINGS
AC00222,81770300000222,CU03849,PR006,BR005,2022-07-19,,ACTIVE,INR,233379.59,CURRENT
AC00223,55781700000223,CU04579,PR008,BR001,2021-11-28,,ACTIVE,INR,142927.99,FIXED_DEPOSIT
AC00224,62569300000224,CU01809,PR001,BR003,2023-11-01,,DORMANT,INR,115914.29,SAVINGS
AC00225,61048400000225,CU04185,PR006,BR001,2022-08-26,,ACTIVE,INR,34755.39,CURRENT
AC00226,61326100000226,CU04497,PR008,BR007,2024-07-26,,ACTIVE,INR,34140.71,FIXED_DEPOSIT
AC00227,95170800000227,CU04735,PR005,BR005,2025-06-04,2026-08-23,CLOSED,INR,33467.15,CURRENT
AC00228,78902800000228,CU02785,PR006,BR008,2025-09-24,,DORMANT,INR,196592.12,CURRENT
AC00229,67647600000229,CU00810,PR004,BR001,2025-09-03,,DORMANT,INR,153021.94,CURRENT
AC00230,77577900000230,CU02160,PR001,BR010,2021-09-20,,ACTIVE,INR,133329.16,SAVINGS
AC00231,41482600000231,CU01519,PR009,BR009,2021-06-23,,ACTIVE,INR,53741.01,FIXED_DEPOSIT
AC00232,66423800000232,CU00612,PR008,BR004,2025-02-28,2026-08-27,CLOSED,INR,189212.15,FIXED_DEPOSIT
AC00233,42710600000233,CU04822,PR009,BR001,2023-04-08,,ACTIVE,INR,145600.21,FIXED_DEPOSIT
AC00234,87749100000234,CU01586,PR007,BR010,2019-10-02,,DORMANT,INR,105992.10,FIXED_DEPOSIT
AC00235,82407600000235,CU00997,PR007,BR009,2018-12-23,2022-06-22,CLOSED,INR,182382.82,FIXED_DEPOSIT
AC00236,93370300000236,CU03733,PR007,BR008,2021-03-09,,ACTIVE,INR,142132.67,FIXED_DEPOSIT
AC00237,33557600000237,CU03903,PR001,BR008,2021-11-10,2026-08-27,CLOSED,INR,55213.46,SAVINGS
AC00238,36114400000238,CU01684,PR004,BR005,2022-03-22,2024-09-09,CLOSED,INR,115640.33,CURRENT
AC00239,34037700000239,CU01832,PR008,BR008,2019-03-23,2024-08-26,CLOSED,INR,102530.32,FIXED_DEPOSIT
AC00240,14570400000240,CU00347,PR003,BR007,2025-02-16,,DORMANT,INR,223141.64,SAVINGS
AC00241,10662600000241,CU03551,PR008,BR001,2023-02-06,,ACTIVE,INR,126796.61,FIXED_DEPOSIT
AC00242,17713000000242,CU03536,PR006,BR009,2020-01-26,,ACTIVE,INR,57486.75,CURRENT
