card_id,account_id,customer_id,card_number,card_type,issue_date,expiry_date,card_status
CA00044,AC07325,CU02521,3541-4524-3484-5460,CREDIT,2022-10-24,2025-10-24,ACTIVE
CA00045,AC01012,CU00398,7243-2587-4677-9826,DEBIT,2023-01-29,2028-01-29,BLOCKED
CA00046,AC06905,CU03713,3582-3953-2976-8103,CREDIT,2025-08-26,2030-08-26,ACTIVE
CA00047,AC00092,CU04059,5500-2615-1960-4411,DEBIT,2023-04-21,2027-04-21,BLOCKED
CA00048,AC02606,CU01957,1195-2727-5889-3633,DEBIT,2025-11-22,2028-11-22,EXPIRED
CA00049,AC03410,CU03921,1955-5028-0181-6339,DEBIT,2022-02-01,2025-02-01,BLOCKED
CA00050,AC04109,CU01783,3270-5389-0076-8945,CREDIT,2023-08-01,2026-08-01,BLOCKED
CA00051,AC02419,CU01084,1395-0276-2632-4735,CREDIT,2020-02-15,2023-02-15,EXPIRED
CA00052,AC04802,CU04294,9296-2560-6339-8908,DEBIT,2020-11-04,2023-11-04,BLOCKED
CA00053,AC05113,CU02966,9175-0470-8074-3685,CREDIT,2024-07-24,2029-07-24,BLOCKED
CA00054,AC06486,CU02471,4005-0623-3548-3923,DEBIT,2020-04-21,2024-04-21,BLOCKED
CA00055,AC06134,CU01508,2747-5181-8455-8388,DEBIT,2024-07-20,2029-07-20,EXPIRED
CA00056,AC04341,CU00419,7806-1445-4116-2577,DEBIT,2023-02-01,2027-02-01,ACTIVE
CA00057,AC06071,CU04894,3301-0401-7966-4740,DEBIT,2022-02-19,2026-02-19,ACTIVE
CA00058,AC04368,CU00918,8085-0233-5113-2758,DEBIT,2023-01-23,2028-01-23,BLOCKED
CA00059,AC07745,CU01624,4917-5210-0407-8647,DEBIT,2022-05-07,2025-05-07,ACTIVE
CA00060,AC00918,CU04416,1373-2310-5624-1887,CREDIT,2023-10-22,2028-10-22,ACTIVE
CA00061,AC01750,CU04327,8582-5100-8212-5836,CREDIT,2022-03-02,2027-03-02,BLOCKED
CA00062,AC05019,CU02867,7062-1879-6121-7737,CREDIT,2025-10-24,2030-10-24,ACTIVE
CA00063,AC01003,CU03344,7582-6234-7691-7562,DEBIT,2022-11-18,2025-11-18,EXPIRED
CA00064,AC07701,CU02261,2369-9670-4505-6477,CREDIT,2022-09-10,2026-09-10,EXPIRED
CA00065,AC05415,CU04306,2390-9192-0986-6634,CREDIT,2023-07-23,2026-07-23,ACTIVE
CA00066,AC01309,CU00929,7040-0350-7956-6299,DEBIT,2025-01-07,2028-01-07,ACTIVE
CA00067,AC07542,CU00264,8911-7245-0564-9560,CREDIT,2020-06-09,2025-06-09,EXPIRED
CA00068,AC02706,CU01742,9339-8841-5451-7965,DEBIT,2021-12-09,2025-12-09,ACTIVE
CA00069,AC06537,CU01661,9913-8662-4551-3483,CREDIT,2021-04-14,2025-04-14,EXPIRED
CA00070,AC07035,CU02273,7421-3602-4343-6959,DEBIT,2022-07-12,2025-07-12,EXPIRED
CA00071,AC03654,CU04476,4930-5381-8214-7130,DEBIT,2022-11-27,2027-11-27,ACTIVE
CA00072,AC02236,CU04342,3255-8080-9985-0141,CREDIT,2021-05-22,2025-05-22,EXPIRED
CA00073,AC04384,CU01355,3688-3342-4267-2636,CREDIT,2025-01-20,2029-01-20,BLOCKED
CA00074,AC06576,CU04270,1389-2014-1626-7338,CREDIT,2023-07-30,2028-07-30,BLOCKED
CA00075,AC01779,CU00145,9303-4153-5661-8155,CREDIT,2021-04-09,2026-04-09,ACTIVE
CA00076,AC03640,CU03377,7630-4756-5567-1055,CREDIT,2024-02-04,2028-02-04,BLOCKED
CA00077,AC04492,CU02359,4378-9598-9070-8286,DEBIT,2023-06-11,2026-06-11,ACTIVE
CA00078,AC05691,CU02259,5320-3310-8897-6698,CREDIT,2022-09-28,2025-09-28,EXPIRED
CA00079,AC06939,CU04267,6479-8234-8711-6081,CREDIT,2022-12-02,2026-12-02,BLOCKED
CA00080,AC05787,CU00132,3040-3924-2642-4384,CREDIT,2020-07-17,2025-07-17,EXPIRED
CA00081,AC03673,CU03349,6092-2279-1809-2871,DEBIT,2020-12-11,2025-12-11,BLOCKED
CA00082,AC01511,CU00099,5122-1690-4757-3804,DEBIT,2021-02-04,2025-02-04,ACTIVE
CA00083,AC02735,CU01620,5304-4714-5663-9289,CREDIT,2020-04-24,2025-04-24,ACTIVE
CA00084,AC00472,CU03143,3686-7941-4504-9881,DEBIT,2020-09-07,2023-09-07,BLOCKED
CA00085,AC06797,CU00276,2134-7269-8668-9875,DEBIT,2023-11-03,2026-11-03,ACTIVE
CA00086,AC04408,CU03400,9958-0010-2391-0243,DEBIT,2022-11-05,2026-11-05,BLOCKED
CA00087,AC04990,CU03579,6958-0200-0487-8398,DEBIT,2021-05-10,2026-05-10,BLOCKED
CA00088,AC02504,CU01125,4446-2630-9289-1257,DEBIT,2025-03-19,2029-03-19,BLOCKED
CA00089,AC05314,CU03413,4757-5922-9781-8145,CREDIT,2023-10-18,2028-10-18,EXPIRED
CA00090,AC02834,CU03276,2393-4971-8288-0495,DEBIT,2025-04-02,2030-04-02,ACTIVE
CA00091,AC07166,CU03877,9836-5054-1438-4912,DEBIT,2024-03-20,2028-03-20,EXPIRED
CA00092,AC07027,CU03205,3605-5532-4873-5253,DEBIT,2023-05-05,2027-05-05,EXPIRED
CA00093,AC06232,CU03563,5467-3873-6311-1857,CREDIT,2025-12-07,2029-12-07,EXPIRED
CA00094,AC05361,CU04188,2869-7273-6253-2546,CREDIT,2023-07-20,2028-07-20,BLOCKED
CA00095,AC00593,CU00697,5175-0092-2992-6352,CREDIT,2020-07-16,2025-07-16,BLOCKED
CA00096,AC02006,CU03480,6027-9651-5072-2212,DEBIT,2025-05-04,2028-05-04,BLOCKED
CA00097,AC01941,CU00886,9679-4990-5311-5509,CREDIT,2022-04-06,2027-04-06,ACTIVE
CA00098,AC01205,CU00087,7581-9375-9509-1513,CREDIT,2020-09-08,2025-09-08,BLOCKED
CA00099,AC04969,CU04680,6554-0188-8780-3658,DEBIT,2024-09-01,2028-09-01,EXPIRED
CA00100,AC07893,CU00783,8806-7903-5352-2862,CREDIT,2024-05-22,2028-05-22,ACTIVE
CA00101,AC00729,CU03222,6407-6078-7655-4855,CREDIT,2022-07-08,2025-07-08,ACTIVE
CA00102,AC07150,CU00472,6091-9106-0357-8760,CREDIT,2022-07-29,2025-07-29,ACTIVE
CA00103,AC07421,CU00711,7853-1278-6319-3515,DEBIT,2022-09-21,2027-09-21,ACTIVE
CA00104,AC02432,CU04930,1651-1161-6074-3614,CREDIT,2025-08-28,2029-08-28,EXPIRED
CA00105,AC02716,CU04014,3008-4169-7075-4680,DEBIT,2024-02-27,2027-02-27,ACTIVE
CA00106,AC07336,CU02391,5461-3793-6634-6737,DEBIT,2020-10-25,2024-10-25,BLOCKED
CA00107,AC04635,CU00914,6203-3372-2959-8933,DEBIT,2020-01-15,2025-01-15,EXPIRED
CA00108,AC06400,CU04748,1576-9914-2939-3047,DEBIT,2024-05-09,2028-05-09,BLOCKED
CA00109,AC01353,CU04093,2455-2186-0425-7590,DEBIT,2021-07-12,2025-07-12,ACTIVE
CA00110,AC07885,CU01266,5476-8504-7601-6899,DEBIT,2020-12-23,2024-12-23,ACTIVE
CA00111,AC01953,CU00272,2415-7374-5085-1663,CREDIT,2021-08-11,2026-08-11,ACTIVE
CA00112,AC06388,CU00565,4438-0904-8077-6884,CREDIT,2020-08-07,2025-08-07,BLOCKED
CA00113,AC07064,CU00765,8296-4017-4874-5246,DEBIT,2021-02-24,2024-02-24,ACTIVE
CA00114,AC03152,CU01516,3478-5059-9123-4826,DEBIT,2022-12-14,2026-12-14,BLOCKED
CA00115,AC03282,CU01834,3751-1313-6862-1211,DEBIT,2020-03-03,2023-03-03,EXPIRED
CA00116,AC03073,CU01207,6578-5256-3354-7259,DEBIT,2023-06-30,2027-06-30,EXPIRED
CA00117,AC00757,CU03019,0115-0256-9339-4155,CREDIT,2025-07-19,2028-07-19,ACTIVE
CA00118,AC05141,CU02678,2625-7047-0090-9016,CREDIT,2022-07-05,2027-07-05,EXPIRED
CA00119,AC01298,CU02648,3469-5530-4671-2063,DEBIT,2024-04-04,2029-04-04,BLOCKED
CA00120,AC02857,CU00639,2903-7964-5724-5194,DEBIT,2023-12-06,2027-12-06,BLOCKED
CA00121,AC02727,CU03159,2995-1378-1100-9548,DEBIT,2022-11-09,2027-11-09,ACTIVE
CA00122,AC03974,CU04028,7476-6279-2001-3985,DEBIT,2023-02-10,2028-02-10,EXPIRED
CA00123,AC06185,CU02130,5819-7131-0595-9235,DEBIT,2022-11-13,2026-11-13,ACTIVE
CA00124,AC00603,CU00678,4097-8871-3737-0818,DEBIT,2024-12-16,2027-12-16,ACTIVE
CA00125,AC01345,CU04229,1288-8294-0788-4880,DEBIT,2020-02-21,2023-02-21,BLOCKED
CA00126,AC07695,CU03233,9716-3421-1837-5929,DEBIT,2022-09-15,2026-09-15,EXPIRED
CA00127,AC05252,CU01003,0249-7693-3100-0168,CREDIT,2025-03-05,2030-03-05,BLOCKED
CA00128,AC03239,CU01190,7557-8993-3359-7096,CREDIT,2024-04-25,2028-04-25,ACTIVE
CA00129,AC01164,CU00895,7015-8110-9438-8640,CREDIT,2025-06-04,2028-06-04,EXPIRED
CA00130,AC07556,CU00367,6866-4925-3024-0796,DEBIT,2022-06-08,2026-06-08,BLOCKED
CA00131,AC01283,CU01938,2222-3400-4516-6647,CREDIT,2025-04-02,2029-04-02,ACTIVE
CA00132,AC02177,CU00620,9931-5428-1793-6734,DEBIT,2022-05-09,2027-05-09,BLOCKED
CA00133,AC07415,CU01849,2229-4959-5698-4455,CREDIT,2025-11-06,2028-11-06,EXPIRED
CA00134,AC07960,CU04967,8446-3978-9266-9554,DEBIT,2022-03-26,2027-03-26,EXPIRED
CA00135,AC07307,CU03097,6115-4306-9474-9775,DEBIT,2024-08-28,2027-08-28,BLOCKED
CA00136,AC07474,CU01551,2797-8936-7862-5491,CREDIT,2025-05-27,2029-05-27,EXPIRED
CA00137,AC07026,CU02902,8627-3047-6209-5936,DEBIT,2023-08-30,2026-08-30,EXPIRED
CA00138,AC05678,CU02964,7896-3532-5762-3969,CREDIT,2023-10-23,2027-10-23,BLOCKED
CA00139,AC01001,CU04831,3121-1631-6705-6953,DEBIT,2023-07-09,2028-07-09,ACTIVE
CA00140,AC01872,CU03339,0780-8603-6711-3286,CREDIT,2024-11-19,2028-11-19,ACTIVE
CA00141,AC00350,CU02169,9094-5556-8724-7036,DEBIT,2024-02-15,2027-02-15,ACTIVE
CA00142,AC04442,CU02932,6638-9951-2046-0971,DEBIT,2023-01-21,2026-01-21,ACTIVE
CA00143,AC01259,CU03844,3012-2828-5736-2847,CREDIT,2020-11-24,2024-11-24,EXPIRED
CA00144,AC01297,CU01471,1461-2309-9097-0990,DEBIT,2020-09-26,2024-09-26,EXPIRED
CA00145,AC03779,CU02459,6119-4435-6460-2070,DEBIT,2024-12-17,2028-12-17,ACTIVE
CA00146,AC05663,CU03220,1454-9314-1164-6687,CREDIT,2024-04-09,2027-04-09,EXPIRED
CA00147,AC04071,CU00675,7539-7495-4299-6146,CREDIT,2020-01-01,2023-01-01,EXPIRED
CA00148,AC05343,CU04914,3861-2497-7589-6330,CREDIT,2021-06-01,2026-06-01,EXPIRED
CA00149,AC01056,CU04064,1175-6752-6428-7739,CREDIT,2024-10-22,2028-10-22,BLOCKED
CA00150,AC04956,CU02363,7385-5484-9491-3730,CREDIT,2024-12-08,2028-12-08,BLOCKED
CA00151,AC02363,CU00713,6407-2072-7542-9002,CREDIT,2021-04-17,2024-04-17,EXPIRED
CA00152,AC03441,CU00407,5107-7051-6819-9181,CREDIT,2022-12-01,2026-12-01,BLOCKED
CA00153,AC05568,CU01624,7585-5369-5923-2239,CREDIT,2021-01-18,2024-01-18,BLOCKED
CA00154,AC03578,CU02162,0283-9173-8895-7599,DEBIT,2020-06-17,2025-06-17,EXPIRED
CA00155,AC03536,CU04024,7263-9049-1749-1771,CREDIT,2021-08-02,2024-08-02,ACTIVE
CA00156,AC06173,CU04941,9847-2430-0552-5603,CREDIT,2025-05-05,2030-05-05,ACTIVE
CA00157,AC00728,CU03878,0223-2238-8411-1172,DEBIT,2025-02-16,2030-02-16,EXPIRED
CA00158,AC02375,CU01716,1206-3924-1880-8027,CREDIT,2022-03-23,2026-03-23,ACTIVE
CA00159,AC01662,CU02018,6541-5429-8817-9707,DEBIT,2024-11-02,2028-11-02,EXPIRED
CA00160,AC01425,CU03083,4694-3898-5906-6309,CREDIT,2024-07-20,2027-07-20,EXPIRED
CA00161,AC01254,CU04942,9531-6561-2637-5309,DEBIT,2023-10-12,2028-10-12,BLOCKED
CA00162,AC03909,CU00319,5415-5034-2787-5767,DEBIT,2022-11-17,2027-11-17,EXPIRED
CA00163,AC06543,CU02909,7709-5497-6664-2440,DEBIT,2023-04-10,2027-04-10,BLOCKED
CA00164,AC05246,CU02936,4701-4439-3359-5600,DEBIT,2021-08-03,2024-08-03,ACTIVE
CA00165,AC05457,CU00858,1471-3809-4679-8713,CREDIT,2021-07-01,2026-07-01,ACTIVE
CA00166,AC05929,CU00510,2571-9560-5788-5440,DEBIT,2024-09-07,2029-09-07,EXPIRED
CA00167,AC02410,CU02400,8361-3694-1226-3029,DEBIT,2023-10-25,2027-10-25,ACTIVE
CA00168,AC05996,CU02513,2957-4643-6584-5299,CREDIT,2023-09-11,2028-09-11,ACTIVE
CA00169,AC05558,CU01970,3914-5507-4131-7563,CREDIT,2024-08-31,2029-08-31,ACTIVE
CA00170,AC03824,CU00930,0044-8595-7222-3925,DEBIT,2024-08-06,2029-08-06,EXPIRED
CA00171,AC07065,CU00074,0047-4601-4351-2908,CREDIT,2024-01-18,2027-01-18,EXPIRED
CA00172,AC02326,CU02325,7604-0199-5484-8032,CREDIT,2022-12-05,2025-12-05,ACTIVE
CA00173,AC03327,CU04961,9004-0211-3838-0129,DEBIT,2021-05-23,2024-05-23,ACTIVE
CA00174,AC03987,CU04502,0955-0665-1325-3415,DEBIT,2022-09-09,2025-09-09,BLOCKED
CA00175,AC01484,CU01377,2554-9021-4650-1768,CREDIT,2021-08-10,2026-08-10,ACTIVE
CA00176,AC02623,CU01302,4283-6891-7537-3144,DEBIT,2020-11-01,2024-11-01,ACTIVE
CA00177,AC02490,CU00428,3704-1400-1542-9315,CREDIT,2020-03-02,2025-03-02,EXPIRED
CA00178,AC01225,CU03451,3339-4080-1660-3442,DEBIT,2024-12-05,2029-12-05,BLOCKED
CA00179,AC06454,CU02950,9628-5768-7571-7816,CREDIT,2021-08-21,2025-08-21,ACTIVE
CA00180,AC01038,CU04988,9300-8508-7065-7862,DEBIT,2025-10-09,2028-10-09,BLOCKED
CA00181,AC00780,CU03045,9215-3468-7794-4785,DEBIT,2020-10-08,2023-10-08,BLOCKED
CA00182,AC02952,CU00400,8975-2142-7156-3157,CREDIT,2021-06-19,2026-06-19,EXPIRED
CA00183,AC07880,CU01430,5520-8199-6677-0620,CREDIT,2025-09-19,2028-09-19,EXPIRED
CA00184,AC07836,CU02479,7749-2583-5847-6752,CREDIT,2023-07-31,2027-07-31,ACTIVE
CA00185,AC01701,CU00897,7391-4332-0277-4523,DEBIT,2023-01-29,2026-01-29,ACTIVE
CA00186,AC05762,CU00748,8181-2238-4053-3079,CREDIT,2022-10-06,2026-10-06,EXPIRED
CA00187,AC00442,CU03193,7113-6116-6954-8816,CREDIT,2024-05-16,2027-05-16,ACTIVE
CA00188,AC06851,CU02231,9237-6068-0874-0804,CREDIT,2020-11-08,2025-11-08,BLOCKED
CA00189,AC07651,CU04045,6643-8852-7108-8327,DEBIT,2024-10-02,2028-10-02,EXPIRED
CA00190,AC06077,CU01227,3449-1611-7686-4604,DEBIT,2023-02-20,2028-02-20,EXPIRED
CA00191,AC07177,CU02391,1443-0115-3305-4323,CREDIT,2025-09-02,2028-09-02,EXPIRED
CA00192,AC03145,CU02655,8858-6253-7168-4393,CREDIT,2023-12-02,2028-12-02,BLOCKED
CA00193,AC03460,CU02642,5153-0491-0253-5487,CREDIT,2025-02-15,2030-02-15,EXPIRED
CA00194,AC07491,CU04452,5800-2914-4080-1917,DEBIT,2022-01-04,2026-01-04,ACTIVE
CA00195,AC00539,CU00369,8567-3827-7321-9075,DEBIT,2021-02-17,2024-02-17,BLOCKED
CA00196,AC06721,CU00712,5593-7840-9835-3629,DEBIT,2022-07-08,2025-07-08,EXPIRED
CA00197,AC01602,CU03308,8210-3229-5023-7248,DEBIT,2023-07-31,2028-07-31,BLOCKED
CA00198,AC00779,CU04691,3865-7489-6053-2933,DEBIT,2020-12-22,2025-12-22,ACTIVE
CA00199,AC06045,CU00553,8850-7532-8687-5073,CREDIT,2025-11-18,2028-11-18,BLOCKED
CA00200,AC04398,CU01816,3077-0892-7482-5683,DEBIT,2023-12-06,2026-12-06,ACTIVE
CA00201,AC02274,CU01577,2985-8343-6563-4983,DEBIT,2023-10-12,2027-10-12,EXPIRED
CA00202,AC01063,CU04576,8990-4653-3926-7159,CREDIT,2020-03-06,2024-03-06,ACTIVE
CA00203,AC01757,CU03426,7985-9718-5156-1939,CREDIT,2022-01-28,2025-01-28,EXPIRED
CA00204,AC06545,CU04418,0165-6852-6023-8670,DEBIT,2024-01-29,2029-01-29,BLOCKED
CA00205,AC03037,CU00698,4715-2038-7276-2440,CREDIT,2025-12-07,2030-12-07,ACTIVE
CA00206,AC00749,CU00219,7979-3674-0132-0612,CREDIT,2025-10-09,2029-10-09,BLOCKED
CA00207,AC06121,CU02397,3491-5862-1490-7227,DEBIT,2021-04-14,2026-04-14,EXPIRED
CA00208,AC00609,CU03044,9409-6255-7791-3089,DEBIT,2022-06-15,2027-06-15,ACTIVE
CA00209,AC03622,CU02476,4606-8570-1022-1407,CREDIT,2020-04-24,2025-04-24,EXPIRED
CA00210,AC07342,CU00810,0492-8074-2799-3646,CREDIT,2024-04-18,2027-04-18,BLOCKED
CA00211,AC03928,CU04887,8771-9678-2579-1754,DEBIT,2020-06-27,2025-06-27,ACTIVE
CA00212,AC00505,CU03217,6965-9205-8614-3056,CREDIT,2025-06-24,2030-06-24,ACTIVE
CA00213,AC05703,CU02729,1144-9781-6884-6996,CREDIT,2024-03-15,2027-03-15,BLOCKED
CA00214,AC00367,CU03814,4707-8867-0664-9652,CREDIT,2020-09-25,2024-09-25,BLOCKED
CA00215,AC03288,CU04986,8007-8241-6627-8915,CREDIT,2021-04-10,2025-04-10,EXPIRED
CA00216,AC07682,CU02078,9482-8082-5245-0173,CREDIT,2022-02-26,2027-02-26,BLOCKED
CA00217,AC04853,CU02954,7381-5630-9550-1821,CREDIT,2020-05-08,2025-05-08,BLOCKED
CA00218,AC03967,CU03009,0749-7649-8932-4695,DEBIT,2022-08-30,2026-08-30,BLOCKED
CA00219,AC07189,CU02241,2767-6081-1563-1386,CREDIT,2020-06-16,2024-06-16,BLOCKED
CA00220,AC04343,CU01673,9678-0870-3885-4309,DEBIT,2022-04-12,2025-04-12,EXPIRED
CA00221,AC04370,CU02049,6123-4670-4099-2541,CREDIT,2020-02-04,2023-02-04,BLOCKED
CA00222,AC01387,CU01460,5273-3375-8243-5976,DEBIT,2020-10-17,2023-10-17,EXPIRED
CA00223,AC07258,CU04985,1444-6914-8045-0258,DEBIT,2025-11-05,2028-11-05,ACTIVE
CA00224,AC06449,CU02639,4017-7231-4334-4281,DEBIT,2024-05-06,2029-05-06,ACTIVE
CA00225,AC06409,CU03319,8782-2827-1211-0245,CREDIT,2021-08-22,2026-08-22,ACTIVE
CA00226,AC05603,CU02964,8926-1343-5504-0641,DEBIT,2024-07-25,2028-07-25,BLOCKED
CA00227,AC00229,CU00810,0214-1266-0687-4288,CREDIT,2024-05-07,2028-05-07,EXPIRED
CA00228,AC00702,CU02964,9406-7085-4765-1981,DEBIT,2023-05-08,2026-05-08,EXPIRED
CA00229,AC06221,CU03092,2014-7917-0193-4695,DEBIT,2023-02-26,2026-02-26,EXPIRED
CA00230,AC02647,CU04287,6893-4072-3888-5343,DEBIT,2021-12-13,2025-12-13,ACTIVE
CA00231,AC04122,CU04471,8706-8374-3901-2583,DEBIT,2022-04-11,2025-04-11,ACTIVE
CA00232,AC00890,CU03504,7807-6858-9584-1000,DEBIT,2020-09-04,2024-09-04,ACTIVE
CA00233,AC05784,CU04482,3913-0126-7773-6742,CREDIT,2021-05-21,2026-05-21,ACTIVE
CA00234,AC04340,CU03854,7256-9528-9378-1647,CREDIT,2025-10-31,2030-10-31,ACTIVE
CA00235,AC01034,CU04970,7546-8379-1514-9439,CREDIT,2020-06-28,2024-06-28,EXPIRED
CA00236,AC01421,CU03059,0529-5545-3089-0512,DEBIT,2020-05-27,2024-05-27,BLOCKED
CA00237,AC02225,CU01202,8936-1294-1411-3722,CREDIT,2025-06-20,2030-06-20,EXPIRED
CA00238,AC01373,CU04505,2001-6762-8497-4623,CREDIT,2023-09-30,2027-09-30,EXPIRED
CA00239,AC04562,CU01177,1862-4581-7884-4593,CREDIT,2025-04-08,2028-04-08,EXPIRED
CA00240,AC03096,CU00482,4427-3134-5081-0607,CREDIT,2021-01-29,2026-01-29,BLOCKED
CA00241,AC03907,CU04500,0484-8555-4187-7316,CREDIT,2020-06-13,2024-06-13,EXPIRED
CA00242,AC04425,CU04745,9606-1054-9932-4456,DEBIT,2022-08-25,2025-08-25,BLOCKED
CA00243,AC04303,CU00863,7164-8941-2914-7779,CREDIT,2023-01-14,2027-01-14,EXPIRED
CA00244,AC02739,CU01978,3955-9148-0475-3535,DEBIT,2025-07-28,2029-07-28,BLOCKED
CA00245,AC04651,CU00413,3863-5068-2481-6401,CREDIT,2023-05-26,2028-05-26,EXPIRED
CA00246,AC07958,CU03145,3411-6226-8305-6161,DEBIT,2022-01-21,2026-01-21,BLOCKED
CA00247,AC06512,CU03595,4622-9504-4881-9856,CREDIT,2020-05-12,2023-05-12,EXPIRED
CA00248,AC03588,CU02623,5756-3475-6814-5420,CREDIT,2024-08-16,2029-08-16,ACTIVE
CA00249,AC02800,CU01348,2226-3789-2291-5646,DEBIT,2024-05-11,2027-05-11,BLOCKED
CA00250,AC06881,CU04667,4261-5316-0252-4002,CREDIT,2021-06-05,2025-06-05,BLOCKED
CA00251,AC03062,CU01878,5643-2304-4633-6632,DEBIT,2022-01-05,2025-01-05,ACTIVE
CA00252,AC06050,CU00033,3901-4250-3575-5601,DEBIT,2022-02-20,2026-02-20,BLOCKED
CA00253,AC05828,CU01298,4888-9532-5864-2412,CREDIT,2021-11-03,2026-11-03,EXPIRED
CA00254,AC06943,CU03494,5387-9788-8372-6778,CREDIT,2025-12-24,2029-12-24,BLOCKED
CA00255,AC00591,CU04417,3875-7384-7876-3843,DEBIT,2025-12-26,2028-12-26,BLOCKED
CA00256,AC04617,CU04424,7444-7911-3183-9397,CREDIT,2024-02-04,2027-02-04,ACTIVE
CA00257,AC01462,CU03482,9113-8207-1592-6136,DEBIT,2025-02-19,2028-02-19,BLOCKED
